Loading object:fap.o
Applying branch and bound with tau=1.000000e-03
************************************************************************************
Explored nodes: 39033
Leaves: 2300
Node [107>108] {2.057552e-04}-{{0:45}{1:49}{2:13}}
Node [120>121] {1.751184e-04}-{{0:45}{1:48}{2:13}}
Node [133>134] {1.938343e-04}-{{0:45}{1:47}{2:13}}
Node [146>147] {1.940131e-04}-{{0:45}{1:46}{2:13}}
Node [159>160] {1.940131e-04}-{{0:45}{1:45}{2:13}}
Node [172>173] {1.940131e-04}-{{0:45}{1:44}{2:13}}
Node [185>186] {1.940131e-04}-{{0:45}{1:43}{2:13}}
Node [198>199] {1.940131e-04}-{{0:45}{1:42}{2:13}}
Node [211>212] {1.940131e-04}-{{0:45}{1:41}{2:13}}
Node [224>225] {1.940131e-04}-{{0:45}{1:40}{2:13}}
Node [237>238] {1.940131e-04}-{{0:45}{1:39}{2:13}}
Node [250>251] {1.940131e-04}-{{0:45}{1:38}{2:13}}
Node [263>264] {1.940131e-04}-{{0:45}{1:37}{2:13}}
Node [276>277] {1.940131e-04}-{{0:45}{1:36}{2:13}}
Node [289>290] {1.940131e-04}-{{0:45}{1:35}{2:13}}
Node [302>303] {1.940131e-04}-{{0:45}{1:34}{2:13}}
Node [315>316] {1.940131e-04}-{{0:45}{1:33}{2:13}}
Node [328>329] {1.940131e-04}-{{0:45}{1:32}{2:13}}
Node [341>342] {1.940131e-04}-{{0:45}{1:31}{2:13}}
Node [354>355] {1.940131e-04}-{{0:45}{1:30}{2:13}}
Node [367>368] {1.940131e-04}-{{0:45}{1:29}{2:13}}
Node [380>381] {1.940131e-04}-{{0:45}{1:28}{2:13}}
Node [393>394] {1.940131e-04}-{{0:45}{1:27}{2:13}}
Node [406>407] {1.940131e-04}-{{0:45}{1:26}{2:13}}
Node [419>420] {1.940131e-04}-{{0:45}{1:25}{2:13}}
Node [432>433] {1.940131e-04}-{{0:45}{1:24}{2:13}}
Node [445>446] {1.940131e-04}-{{0:45}{1:23}{2:13}}
Node [458>459] {1.940131e-04}-{{0:45}{1:22}{2:13}}
Node [471>472] {1.940131e-04}-{{0:45}{1:21}{2:13}}
Node [484>485] {1.940131e-04}-{{0:45}{1:20}{2:13}}
Node [497>498] {1.940131e-04}-{{0:45}{1:19}{2:13}}
Node [510>511] {1.940131e-04}-{{0:45}{1:18}{2:13}}
Node [523>524] {1.940131e-04}-{{0:45}{1:17}{2:13}}
Node [536>537] {1.940131e-04}-{{0:45}{1:16}{2:13}}
Node [549>550] {1.940131e-04}-{{0:45}{1:15}{2:13}}
Node [562>563] {1.940131e-04}-{{0:45}{1:14}{2:13}}
Node [575>576] {1.940131e-04}-{{0:45}{1:13}{2:13}}
Node [588>589] {1.940131e-04}-{{0:45}{1:12}{2:13}}
Node [601>602] {1.940131e-04}-{{0:45}{1:11}{2:13}}
Node [614>615] {1.940131e-04}-{{0:45}{1:10}{2:13}}
Node [627>628] {1.940131e-04}-{{0:45}{1:9}{2:13}}
Node [640>641] {1.940131e-04}-{{0:45}{1:8}{2:13}}
Node [653>654] {1.940131e-04}-{{0:45}{1:7}{2:13}}
Node [666>667] {1.940131e-04}-{{0:45}{1:6}{2:13}}
Node [679>680] {1.940131e-04}-{{0:45}{1:5}{2:13}}
Node [692>693] {1.940131e-04}-{{0:45}{1:4}{2:13}}
Node [705>706] {1.940131e-04}-{{0:45}{1:3}{2:13}}
Node [718>719] {1.940131e-04}-{{0:45}{1:2}{2:13}}
Node [731>732] {1.940131e-04}-{{0:45}{1:1}{2:13}}
Node [744>745] {1.940131e-04}-{{0:45}{1:0}{2:13}}
Node [810>811] {6.552339e-04}-{{0:44}{1:49}{2:17}}
Node [827>828] {9.058714e-04}-{{0:44}{1:48}{2:17}}
Node [844>845] {9.239912e-04}-{{0:44}{1:47}{2:17}}
Node [861>862] {9.240508e-04}-{{0:44}{1:46}{2:17}}
Node [878>879] {9.240508e-04}-{{0:44}{1:45}{2:17}}
