Applying branch and bound with tau=1.000000e+01
************************************************************************************
Explored nodes: 1000000
Leaves: 10000
Node [297>298] {2.661660e-01}-{2.740000e+02}-{{0:100}{1:100}{2:100}}
Node [396>397] {2.532166e-01}-{4.550000e+02}-{{0:100}{1:99}{2:100}}
Node [495>496] {2.713488e-01}-{4.210000e+02}-{{0:100}{1:98}{2:100}}
Node [594>595] {2.531164e-01}-{4.450000e+02}-{{0:100}{1:97}{2:100}}
Node [693>694] {2.716215e-01}-{4.320000e+02}-{{0:100}{1:96}{2:100}}
Node [792>793] {2.530121e-01}-{4.380000e+02}-{{0:100}{1:95}{2:100}}
Node [891>892] {2.719056e-01}-{7.310000e+02}-{{0:100}{1:94}{2:100}}
Node [990>991] {2.529033e-01}-{7.860000e+02}-{{0:100}{1:93}{2:100}}
Node [1089>1090] {2.722020e-01}-{6.780000e+02}-{{0:100}{1:92}{2:100}}
Node [1188>1189] {2.527899e-01}-{6.130000e+02}-{{0:100}{1:91}{2:100}}
Node [1287>1288] {2.725115e-01}-{1.131000e+03}-{{0:100}{1:90}{2:100}}
Node [1386>1387] {2.526714e-01}-{6.590000e+02}-{{0:100}{1:89}{2:100}}
Node [1485>1486] {2.728348e-01}-{3.780000e+02}-{{0:100}{1:88}{2:100}}
Node [1584>1585] {2.525476e-01}-{3.970000e+02}-{{0:100}{1:87}{2:100}}
Node [1683>1684] {2.731731e-01}-{3.860000e+02}-{{0:100}{1:86}{2:100}}
Node [1782>1783] {2.524179e-01}-{4.010000e+02}-{{0:100}{1:85}{2:100}}
Node [1881>1882] {2.735274e-01}-{3.900000e+02}-{{0:100}{1:84}{2:100}}
Node [1980>1981] {2.522823e-01}-{3.860000e+02}-{{0:100}{1:83}{2:100}}
Node [2079>2080] {2.738987e-01}-{3.930000e+02}-{{0:100}{1:82}{2:100}}
Node [2178>2179] {2.521399e-01}-{4.070000e+02}-{{0:100}{1:81}{2:100}}
Node [2277>2278] {2.742884e-01}-{3.810000e+02}-{{0:100}{1:80}{2:100}}
Node [2376>2377] {2.519906e-01}-{3.810000e+02}-{{0:100}{1:79}{2:100}}
Node [2475>2476] {2.746979e-01}-{3.670000e+02}-{{0:100}{1:78}{2:100}}
Node [2574>2575] {2.518336e-01}-{3.940000e+02}-{{0:100}{1:77}{2:100}}
Node [2673>2674] {2.751287e-01}-{3.650000e+02}-{{0:100}{1:76}{2:100}}
Node [2772>2773] {2.516683e-01}-{3.940000e+02}-{{0:100}{1:75}{2:100}}
Node [2871>2872] {2.755825e-01}-{3.780000e+02}-{{0:100}{1:74}{2:100}}
Node [2970>2971] {2.514943e-01}-{3.880000e+02}-{{0:100}{1:73}{2:100}}
Node [3069>3070] {2.760612e-01}-{3.750000e+02}-{{0:100}{1:72}{2:100}}
Node [3168>3169] {2.513106e-01}-{4.030000e+02}-{{0:100}{1:71}{2:100}}
Node [3267>3268] {2.765670e-01}-{3.690000e+02}-{{0:100}{1:70}{2:100}}
Node [3366>3367] {2.511165e-01}-{4.260000e+02}-{{0:100}{1:69}{2:100}}
Node [3465>3466] {2.771021e-01}-{3.730000e+02}-{{0:100}{1:68}{2:100}}
Node [3564>3565] {2.509109e-01}-{3.870000e+02}-{{0:100}{1:67}{2:100}}
Node [3663>3664] {2.817397e-01}-{4.880000e+02}-{{0:100}{1:66}{2:100}}
Node [3762>3763] {2.465605e-01}-{4.840000e+02}-{{0:100}{1:65}{2:100}}
Node [3861>3862] {2.824683e-01}-{4.630000e+02}-{{0:100}{1:64}{2:100}}
Node [3960>3961] {2.461985e-01}-{4.880000e+02}-{{0:100}{1:63}{2:100}}
Node [4059>4060] {2.832435e-01}-{4.650000e+02}-{{0:100}{1:62}{2:100}}
Node [4158>4159] {2.458133e-01}-{4.820000e+02}-{{0:100}{1:61}{2:100}}
Node [4257>4258] {2.840697e-01}-{4.590000e+02}-{{0:100}{1:60}{2:100}}
Node [4356>4357] {2.454024e-01}-{4.870000e+02}-{{0:100}{1:59}{2:100}}
Node [4455>4456] {2.849522e-01}-{4.640000e+02}-{{0:100}{1:58}{2:100}}
Node [4554>4555] {2.449632e-01}-{4.760000e+02}-{{0:100}{1:57}{2:100}}
Node [4653>4654] {2.858967e-01}-{4.650000e+02}-{{0:100}{1:56}{2:100}}
Node [4752>4753] {2.444925e-01}-{4.910000e+02}-{{0:100}{1:55}{2:100}}
Node [4851>4852] {2.869104e-01}-{4.620000e+02}-{{0:100}{1:54}{2:100}}
Node [4950>4951] {2.439871e-01}-{4.790000e+02}-{{0:100}{1:53}{2:100}}
Node [5049>5050] {2.880009e-01}-{4.600000e+02}-{{0:100}{1:52}{2:100}}
Node [5148>5149] {2.434428e-01}-{4.840000e+02}-{{0:100}{1:51}{2:100}}
Node [5247>5248] {2.891774e-01}-{4.670000e+02}-{{0:100}{1:50}{2:100}}
Node [5346>5347] {2.478758e-01}-{6.260000e+02}-{{0:100}{1:49}{2:100}}
Node [5445>5446] {2.955750e-01}-{5.980000e+02}-{{0:100}{1:48}{2:100}}
Node [5544>5545] {2.474514e-01}-{6.180000e+02}-{{0:100}{1:47}{2:100}}
Node [5643>5644] {2.971783e-01}-{6.160000e+02}-{{0:100}{1:46}{2:100}}
Node [5742>5743] {2.469904e-01}-{6.150000e+02}-{{0:100}{1:45}{2:100}}
Node [5841>5842] {2.989250e-01}-{5.960000e+02}-{{0:100}{1:44}{2:100}}
Node [5940>5941] {2.464878e-01}-{6.090000e+02}-{{0:100}{1:43}{2:100}}
Node [6039>6040] {3.008355e-01}-{5.870000e+02}-{{0:100}{1:42}{2:100}}
Node [6138>6139] {2.459379e-01}-{6.100000e+02}-{{0:100}{1:41}{2:100}}
Node [6237>6238] {3.029338e-01}-{5.860000e+02}-{{0:100}{1:40}{2:100}}
Node [6336>6337] {2.412009e-01}-{7.020000e+02}-{{0:100}{1:39}{2:100}}
Node [6435>6436] {3.094899e-01}-{6.840000e+02}-{{0:100}{1:38}{2:100}}
Node [6534>6535] {2.403113e-01}-{6.980000e+02}-{{0:100}{1:37}{2:100}}
Node [6633>6634] {3.122918e-01}-{6.670000e+02}-{{0:100}{1:36}{2:100}}
Node [6732>6733] {2.393233e-01}-{7.070000e+02}-{{0:100}{1:35}{2:100}}
Node [6831>6832] {3.154173e-01}-{6.880000e+02}-{{0:100}{1:34}{2:100}}
Node [6930>6931] {2.413895e-01}-{8.580000e+02}-{{0:100}{1:33}{2:100}}
Node [7029>7030] {3.240504e-01}-{8.430000e+02}-{{0:100}{1:32}{2:100}}
Node [7128>7129] {2.403517e-01}-{8.520000e+02}-{{0:100}{1:31}{2:100}}
Node [7227>7228] {3.283563e-01}-{8.340000e+02}-{{0:100}{1:30}{2:100}}
Node [7326>7327] {2.391770e-01}-{8.630000e+02}-{{0:100}{1:29}{2:100}}
Node [7425>7426] {3.373758e-01}-{9.300000e+02}-{{0:100}{1:28}{2:100}}
Node [7524>7525] {2.335728e-01}-{9.460000e+02}-{{0:100}{1:27}{2:100}}
Node [7623>7624] {3.433361e-01}-{9.130000e+02}-{{0:100}{1:26}{2:100}}
Node [7722>7723] {2.316890e-01}-{9.410000e+02}-{{0:100}{1:25}{2:100}}
Node [7821>7822] {3.553909e-01}-{1.056000e+03}-{{0:100}{1:24}{2:100}}
Node [7920>7921] {2.348384e-01}-{1.082000e+03}-{{0:100}{1:23}{2:100}}
Node [8019>8020] {3.680819e-01}-{1.149000e+03}-{{0:100}{1:22}{2:100}}
Node [8118>8119] {2.284863e-01}-{1.248000e+03}-{{0:100}{1:21}{2:100}}
Node [8217>8218] {3.787848e-01}-{1.131000e+03}-{{0:100}{1:20}{2:100}}
Node [8316>8317] {2.288436e-01}-{1.335000e+03}-{{0:100}{1:19}{2:100}}
Node [8415>8416] {4.013315e-01}-{1.335000e+03}-{{0:100}{1:18}{2:100}}
Node [8514>8515] {2.213262e-01}-{1.428000e+03}-{{0:100}{1:17}{2:100}}
Node [8613>8614] {4.238008e-01}-{1.490000e+03}-{{0:100}{1:16}{2:100}}
Node [8712>8713] {2.180894e-01}-{1.639000e+03}-{{0:100}{1:15}{2:100}}
Node [8811>8812] {4.561030e-01}-{1.707000e+03}-{{0:100}{1:14}{2:100}}
Node [8910>8911] {2.117447e-01}-{1.873000e+03}-{{0:100}{1:13}{2:100}}
Node [9009>9010] {4.974440e-01}-{1.921000e+03}-{{0:100}{1:12}{2:100}}
Node [9108>9109] {2.085488e-01}-{2.242000e+03}-{{0:100}{1:11}{2:100}}
Node [9207>9208] {5.576705e-01}-{2.199000e+03}-{{0:100}{1:10}{2:100}}
Node [9306>9307] {1.985328e-01}-{2.731000e+03}-{{0:100}{1:9}{2:100}}
