Applying branch and bound with tau=1.000000e+01
************************************************************************************
Explored nodes: 10000
Leaves: 100
Node [198>199] {7.292862e-01}-{1.490000e+05}-{{0:100}{1:100}}
Node [297>298] {7.292862e-01}-{1.496460e+05}-{{0:99}{1:100}}
Node [396>397] {7.292862e-01}-{1.498900e+05}-{{0:98}{1:100}}
Node [495>496] {7.292862e-01}-{1.497640e+05}-{{0:97}{1:100}}
Node [594>595] {7.292862e-01}-{1.507420e+05}-{{0:96}{1:100}}
Node [693>694] {7.292862e-01}-{1.497910e+05}-{{0:95}{1:100}}
Node [792>793] {7.292862e-01}-{1.550640e+05}-{{0:94}{1:100}}
Node [891>892] {7.292862e-01}-{1.398560e+05}-{{0:93}{1:100}}
Node [990>991] {7.292862e-01}-{1.397380e+05}-{{0:92}{1:100}}
Node [1089>1090] {7.292862e-01}-{1.397150e+05}-{{0:91}{1:100}}
Node [1188>1189] {7.292862e-01}-{1.396470e+05}-{{0:90}{1:100}}
Node [1287>1288] {7.292862e-01}-{1.397090e+05}-{{0:89}{1:100}}
Node [1386>1387] {7.292862e-01}-{1.399240e+05}-{{0:88}{1:100}}
Node [1485>1486] {7.292862e-01}-{1.836050e+05}-{{0:87}{1:100}}
Node [1584>1585] {7.292862e-01}-{1.407620e+05}-{{0:86}{1:100}}
Node [1683>1684] {7.292862e-01}-{1.405510e+05}-{{0:85}{1:100}}
Node [1782>1783] {7.292862e-01}-{1.407590e+05}-{{0:84}{1:100}}
Node [1881>1882] {7.292862e-01}-{1.404240e+05}-{{0:83}{1:100}}
Node [1980>1981] {7.292862e-01}-{8.920120e+05}-{{0:82}{1:100}}
Node [2079>2080] {7.292862e-01}-{1.409170e+05}-{{0:81}{1:100}}
Node [2178>2179] {7.292862e-01}-{1.415370e+05}-{{0:80}{1:100}}
Node [2277>2278] {7.292862e-01}-{1.403570e+05}-{{0:79}{1:100}}
Node [2376>2377] {7.292862e-01}-{1.401460e+05}-{{0:78}{1:100}}
Node [2475>2476] {7.292862e-01}-{1.444770e+05}-{{0:77}{1:100}}
Node [2574>2575] {7.292862e-01}-{1.405680e+05}-{{0:76}{1:100}}
Node [2673>2674] {7.292862e-01}-{1.395480e+05}-{{0:75}{1:100}}
Node [2772>2773] {7.292862e-01}-{1.453180e+05}-{{0:74}{1:100}}
Node [2871>2872] {7.292862e-01}-{1.404300e+05}-{{0:73}{1:100}}
Node [2970>2971] {7.292862e-01}-{1.397190e+05}-{{0:72}{1:100}}
Node [3069>3070] {7.292862e-01}-{1.395610e+05}-{{0:71}{1:100}}
Node [3168>3169] {7.292862e-01}-{1.405400e+05}-{{0:70}{1:100}}
Node [3267>3268] {7.292862e-01}-{1.451080e+05}-{{0:69}{1:100}}
Node [3366>3367] {7.292862e-01}-{3.668810e+05}-{{0:68}{1:100}}
Node [3465>3466] {7.292862e-01}-{1.461720e+05}-{{0:67}{1:100}}
Node [3564>3565] {7.292862e-01}-{1.398550e+05}-{{0:66}{1:100}}
Node [3663>3664] {7.292862e-01}-{1.406170e+05}-{{0:65}{1:100}}
Node [3762>3763] {7.292862e-01}-{7.619690e+05}-{{0:64}{1:100}}
Node [3861>3862] {7.292862e-01}-{1.406890e+05}-{{0:63}{1:100}}
Node [3960>3961] {7.292862e-01}-{1.396320e+05}-{{0:62}{1:100}}
Node [4059>4060] {7.292862e-01}-{1.397740e+05}-{{0:61}{1:100}}
Node [4158>4159] {7.292862e-01}-{1.452120e+05}-{{0:60}{1:100}}
Node [4257>4258] {7.292862e-01}-{1.498830e+05}-{{0:59}{1:100}}
Node [4356>4357] {7.292862e-01}-{1.395250e+05}-{{0:58}{1:100}}
Node [4455>4456] {7.292862e-01}-{1.405520e+05}-{{0:57}{1:100}}
Node [4554>4555] {7.292862e-01}-{1.404060e+05}-{{0:56}{1:100}}
Node [4653>4654] {7.292862e-01}-{1.404470e+05}-{{0:55}{1:100}}
Node [4752>4753] {7.292862e-01}-{8.933030e+05}-{{0:54}{1:100}}
Node [4851>4852] {7.292862e-01}-{1.398960e+05}-{{0:53}{1:100}}
Node [4950>4951] {7.292862e-01}-{1.521020e+05}-{{0:52}{1:100}}
Node [5049>5050] {7.292862e-01}-{1.409310e+05}-{{0:51}{1:100}}
Node [5148>5149] {7.292862e-01}-{1.396760e+05}-{{0:50}{1:100}}
Node [5247>5248] {7.292862e-01}-{1.406670e+05}-{{0:49}{1:100}}
Node [5346>5347] {7.292862e-01}-{1.396280e+05}-{{0:48}{1:100}}
Node [5445>5446] {7.292862e-01}-{1.406220e+05}-{{0:47}{1:100}}
Node [5544>5545] {7.292862e-01}-{1.396760e+05}-{{0:46}{1:100}}
Node [5643>5644] {7.292862e-01}-{8.931270e+05}-{{0:45}{1:100}}
Node [5742>5743] {7.292862e-01}-{1.458060e+05}-{{0:44}{1:100}}
Node [5841>5842] {7.292862e-01}-{1.395540e+05}-{{0:43}{1:100}}
Node [5940>5941] {7.292862e-01}-{1.455140e+05}-{{0:42}{1:100}}
Node [6039>6040] {7.292862e-01}-{1.408340e+05}-{{0:41}{1:100}}
Node [6138>6139] {7.292862e-01}-{1.395780e+05}-{{0:40}{1:100}}
Node [6237>6238] {7.292862e-01}-{1.406320e+05}-{{0:39}{1:100}}
Node [6336>6337] {7.292862e-01}-{1.395060e+05}-{{0:38}{1:100}}
Node [6435>6436] {7.292862e-01}-{1.454650e+05}-{{0:37}{1:100}}
Node [6534>6535] {7.292862e-01}-{1.407600e+05}-{{0:36}{1:100}}
Node [6633>6634] {7.292862e-01}-{1.467360e+05}-{{0:35}{1:100}}
Node [6732>6733] {7.292862e-01}-{1.404620e+05}-{{0:34}{1:100}}
Node [6831>6832] {7.292862e-01}-{1.405610e+05}-{{0:33}{1:100}}
Node [6930>6931] {7.292862e-01}-{1.501180e+05}-{{0:32}{1:100}}
Node [7029>7030] {7.292862e-01}-{1.407860e+05}-{{0:31}{1:100}}
Node [7128>7129] {7.292862e-01}-{1.449420e+05}-{{0:30}{1:100}}
Node [7227>7228] {7.292862e-01}-{1.403860e+05}-{{0:29}{1:100}}
Node [7326>7327] {7.292862e-01}-{1.457520e+05}-{{0:28}{1:100}}
Node [7425>7426] {7.292862e-01}-{8.925570e+05}-{{0:27}{1:100}}
Node [7524>7525] {7.292862e-01}-{1.396550e+05}-{{0:26}{1:100}}
Node [7623>7624] {7.292862e-01}-{1.407560e+05}-{{0:25}{1:100}}
Node [7722>7723] {7.292862e-01}-{8.935800e+05}-{{0:24}{1:100}}
Node [7821>7822] {7.292862e-01}-{1.397650e+05}-{{0:23}{1:100}}
Node [7920>7921] {7.292862e-01}-{1.395490e+05}-{{0:22}{1:100}}
Node [8019>8020] {7.292862e-01}-{9.199020e+05}-{{0:21}{1:100}}
Node [8118>8119] {7.292862e-01}-{1.405730e+05}-{{0:20}{1:100}}
Node [8217>8218] {7.292862e-01}-{1.445450e+05}-{{0:19}{1:100}}
Node [8316>8317] {7.292862e-01}-{8.931720e+05}-{{0:18}{1:100}}
Node [8415>8416] {7.292862e-01}-{1.395370e+05}-{{0:17}{1:100}}
Node [8514>8515] {7.292862e-01}-{1.408130e+05}-{{0:16}{1:100}}
Node [8613>8614] {7.292862e-01}-{8.940950e+05}-{{0:15}{1:100}}
Node [8712>8713] {7.292862e-01}-{1.403720e+05}-{{0:14}{1:100}}
Node [8811>8812] {7.292862e-01}-{1.455760e+05}-{{0:13}{1:100}}
Node [8910>8911] {7.292862e-01}-{1.395730e+05}-{{0:12}{1:100}}
Node [9009>9010] {7.292862e-01}-{1.405200e+05}-{{0:11}{1:100}}
Node [9108>9109] {7.292862e-01}-{1.404370e+05}-{{0:10}{1:100}}
Node [9207>9208] {7.292862e-01}-{1.404410e+05}-{{0:9}{1:100}}
Node [9306>9307] {7.292862e-01}-{1.408020e+05}-{{0:8}{1:100}}
Node [9405>9406] {7.292862e-01}-{1.677990e+05}-{{0:7}{1:100}}
Node [9504>9505] {7.292862e-01}-{1.501740e+05}-{{0:6}{1:100}}
Node [9603>9604] {7.292862e-01}-{6.389010e+05}-{{0:5}{1:100}}
Node [9702>9703] {7.292862e-01}-{1.404690e+05}-{{0:4}{1:100}}
Node [9801>9802] {7.292862e-01}-{1.404750e+05}-{{0:3}{1:100}}
Node [9900>9901] {7.292862e-01}-{5.915420e+05}-{{0:2}{1:100}}
Node [9999>10000] {7.292862e-01}-{1.395640e+05}-{{0:1}{1:100}}
